지역,발전원,총발전량(MWh)
BSN,태양광,1398722.0996144533
BSN,풍력,88850.91367573896
BSN,LNG,20295.0
BSN,원자력,39967200.0
BSN,Unknown,12544273.972595517
CBD,태양광,4279995.995318666
CBD,풍력,88850.91367573896
CBD,Unknown,11579317.479449566
CND,태양광,6359994.049118115
CND,풍력,29616.971225246423
CND,LNG,37703.77890981505
CND,Unknown,10318512.657561125
CND,석탄,84135339.7157665
DGU,태양광,2027855.4480000597
DGU,Unknown,10368328.7670912
DJN,태양광,899999.1578940764
DJN,Unknown,6016438.356161614
GBD,태양광,7114095.710347642
GBD,풍력,1569699.4749380618
GBD,LNG,27533.977185633223
GBD,원자력,100137600.0
GBD,Unknown,11268829.150695363
GBD,석탄,659081.7567500542
GGD,태양광,4079996.1824532677
GGD,풍력,177701.82735148483
GGD,LNG,1577978.3756613191
GGD,Unknown,34192421.917845115
GND,태양광,3734816.1320537124
GND,풍력,325786.68347771425
GND,LNG,0.0
GND,Unknown,13316584.109588636
GND,석탄,64988088.80643397
GWD,태양광,4399995.883037877
GWD,풍력,1747401.302289535
GWD,LNG,30528.0
GWD,Unknown,10968969.863009807
GWD,석탄,34024616.76878881
GWJ,태양광,1394915.3834366999
GWJ,Unknown,6858739.726025471
ICN,태양광,2399997.7543842285
ICN,LNG,27561958.273478508
ICN,Unknown,13321517.589079203
ICN,석탄,43897252.04801739
JBD,태양광,9438443.160835167
JBD,풍력,88850.91367573896
JBD,LNG,1436.0
JBD,Unknown,8537847.4520568
JJD,태양광,799735.587050778
JJD,풍력,1006977.0216583667
JJD,LNG,16420.557817292243
JND,태양광,11119989.59531367
JND,풍력,1421614.6188118285
JND,LNG,46299.567805991595
JND,원자력,51825600.0
JND,Unknown,8365737.205480893
JND,석탄,5519895.677698864
SEL,태양광,539999.4947364624
SEL,LNG,0.0
SEL,Unknown,18400273.972624797
SJN,태양광,399999.62573072565
SJN,Unknown,1835013.6986297767
USN,태양광,1119998.9520459725
USN,LNG,0.0
USN,원자력,24595200.0
BSN,수소,376027.3972604304
CBD,수소,210575.34246552477
CND,수소,300821.9178085201
DGU,수소,310849.3150686577
DJN,수소,180493.15068511205
GBD,수소,290794.5205483823
GGD,수소,952602.739721856
GND,수소,360986.3013702241
GWD,수소,190520.54794524962
GWJ,수소,205561.64383545605
ICN,수소,396082.19178070547
JBD,수소,235643.83561674718
JJD,수소,65178.0821917728
JJD,Unknown,2175945.2054779674
JND,수소,240657.53424681604
SEL,수소,551506.8493154735
SJN,수소,55150.684931547374
USN,수소,290794.5205483823
USN,Unknown,9696493.150695363
